ID,spend,email,source,freeship,corn,eastofmiss,repeatorder
9999617,205,corporate,direct,0,0,1,1
9999181,147,corporate,referral,1,1,0,1
9999160,193,popular,direct,1,0,1,0
9998919,65,other,referral,0,0,0,0
9997874,29,other,search,1,0,1,0
9997073,49,popular,direct,0,0,1,0
9994800,30,other,search,1,1,1,0
9994007,169,popular,referral,0,0,0,0
9993491,32,other,search,0,0,1,0
9992971,36,corporate,referral,0,1,1,0
9991800,119,popular,direct,0,1,1,0
9991686,123,corporate,direct,1,0,0,0
9991069,198,popular,direct,0,1,0,0
9990447,150,popular,direct,0,0,1,0
9988630,178,other,referral,1,0,1,0
9988426,50,other,referral,0,0,1,0
9988135,195,other,search,1,0,1,1
9987341,88,other,direct,0,0,0,0
9985758,199,popular,search,0,1,1,0
9985628,105,other,search,0,1,0,1
9985618,162,corporate,direct,1,0,1,1
9984157,155,popular,direct,1,1,1,0
9982801,102,corporate,direct,0,1,0,1
9980895,32,other,direct,0,0,0,0
9980603,213,corporate,search,1,0,0,1
9979991,28,corporate,direct,1,1,0,1
9979595,97,other,direct,0,0,0,0
9978695,25,other,referral,0,1,1,0
9977482,150,corporate,referral,1,1,0,1
9976721,150,popular,referral,0,0,1,0
9974882,90,popular,direct,0,1,0,1
9973657,215,popular,direct,1,1,0,1
9973287,200,popular,referral,0,1,1,0
9972712,37,popular,search,1,1,0,0
9968471,152,corporate,search,0,1,1,0
9968251,125,popular,direct,0,0,1,0
9967207,60,corporate,search,0,1,1,0
9967076,67,popular,search,1,1,0,0
9965910,129,popular,referral,0,1,0,0
9965849,56,popular,search,1,1,0,1
9964676,37,corporate,referral,0,0,1,0
9962317,139,other,search,0,1,1,0
9960427,108,corporate,referral,0,1,0,0
9959771,116,corporate,referral,1,1,1,0
9959294,112,other,direct,1,0,1,0
9958698,211,other,referral,1,1,1,0
9958269,214,other,referral,1,0,1,0
9958088,181,corporate,direct,0,1,0,1
9957543,204,other,referral,1,1,0,1
9956780,58,corporate,search,1,1,1,0
9956560,194,other,referral,0,0,0,1
9953844,68,corporate,search,1,0,1,0
9952710,54,popular,referral,0,1,1,0
9951632,84,corporate,direct,0,1,0,1
9951419,209,other,search,1,1,0,1
9950221,131,other,referral,0,0,1,0
9949010,210,other,direct,0,1,1,0
9947646,67,corporate,direct,1,0,1,0
9946892,184,popular,direct,0,1,1,0
9945177,100,other,direct,1,1,1,0
9945113,118,popular,search,0,0,0,0
9944071,195,corporate,search,0,0,1,0
9943762,184,popular,direct,1,1,0,1
9943367,185,corporate,direct,1,1,1,1
9942460,71,other,referral,0,1,1,0
9941508,51,other,direct,0,1,1,0
9940522,89,popular,referral,0,1,0,0
9939264,71,corporate,referral,1,0,1,0
9937078,97,other,search,0,1,1,1
9934811,66,corporate,referral,1,0,1,0
9933817,185,corporate,search,0,0,0,0
9933526,105,corporate,search,0,1,0,1
9931405,122,corporate,direct,0,0,1,0
9931310,96,corporate,direct,1,0,1,0
9930763,150,popular,search,0,0,1,0
9929091,218,popular,referral,0,0,1,0
9928935,206,popular,direct,0,0,0,0
9927053,89,popular,direct,1,1,0,0
9927033,31,corporate,referral,1,1,0,1
9926333,60,corporate,direct,0,1,0,0
9925166,183,corporate,referral,1,1,1,0
9924245,20,other,direct,0,0,0,0
9923494,170,other,direct,1,1,0,1
9923091,55,other,referral,1,0,0,1
9921517,21,other,referral,1,0,1,0
9921125,173,popular,referral,1,0,0,0
9920972,154,popular,direct,0,1,0,1
9920452,103,other,direct,0,1,0,1
9918009,180,other,direct,1,0,1,1
9917339,81,other,direct,0,1,1,0
9916970,117,corporate,search,0,1,1,1
9916404,124,popular,search,0,1,1,0
9914161,151,corporate,referral,0,0,0,1
9913523,203,corporate,search,0,0,0,0
9912339,100,other,direct,1,1,0,1
9912069,192,popular,referral,1,1,0,1
9911160,38,popular,direct,1,0,0,0
9910122,22,popular,referral,1,1,0,0
9908223,44,other,direct,0,1,0,1
9908216,40,popular,direct,1,0,1,0
9907981,36,other,search,0,0,0,0
9907280,195,corporate,referral,1,1,0,1
9907144,93,popular,referral,0,1,1,0
9907117,84,popular,search,0,1,0,0
9904339,102,popular,search,1,1,0,1
9902675,50,popular,direct,1,0,1,0
9902026,125,corporate,referral,1,0,0,0
9901877,58,popular,direct,0,0,1,0
9901815,124,corporate,search,0,0,0,0
9900936,141,popular,search,0,0,0,0
9900118,106,corporate,direct,1,1,1,0
9898801,37,other,referral,0,0,0,0
9896330,118,popular,direct,0,1,1,0
9894788,185,corporate,search,0,1,0,1
9891739,189,corporate,referral,1,0,1,1
9891655,92,corporate,referral,0,0,1,0
9891077,189,popular,referral,1,1,0,1
9889356,158,other,search,1,1,1,0
9887166,203,other,search,0,0,0,0
9886499,155,corporate,direct,1,1,1,1
9886428,31,corporate,search,1,0,1,0
9885568,186,popular,direct,1,0,1,0
9882701,219,popular,search,0,0,1,0
9880793,156,other,search,0,1,1,0
9880283,171,popular,referral,1,1,0,1
9878129,101,other,direct,0,1,0,1
9877118,218,popular,referral,0,0,0,0
9876714,121,popular,direct,1,1,0,0
9874423,70,other,referral,0,1,0,0
9874247,142,corporate,direct,1,0,0,1
9873677,187,popular,search,0,1,1,0
9873344,146,corporate,search,1,0,0,0
9872175,96,other,search,1,0,0,0
9870620,72,corporate,search,1,1,0,1
9867098,159,corporate,search,1,1,0,1
9865991,214,popular,direct,1,0,1,1
9865254,170,popular,search,1,1,1,0
9864420,41,popular,direct,1,0,0,0
9863816,128,corporate,search,1,1,0,1
9860268,135,other,search,1,0,0,0
9860156,184,other,direct,1,1,0,1
9859005,166,corporate,search,0,1,1,0
9858257,139,corporate,direct,1,1,1,1
9853959,138,corporate,search,1,1,0,1
9853356,60,corporate,direct,0,1,1,0
9852137,213,corporate,direct,1,0,1,1
9851361,81,corporate,direct,0,1,0,1
9850362,164,other,direct,1,0,1,0
9848438,165,other,referral,0,1,1,0
9847871,82,other,referral,1,0,1,0
9847564,102,other,direct,0,0,1,0
9847136,35,popular,direct,0,0,0,0
9846997,118,corporate,search,0,0,1,1
9844605,70,other,direct,1,1,0,1
9843162,43,corporate,search,0,0,0,0
9842761,147,corporate,referral,0,1,1,0
9842445,108,popular,referral,1,1,1,0
9839371,153,other,direct,1,1,0,1
9839090,109,corporate,referral,0,0,0,1
9838769,58,other,search,0,1,0,0
9838604,24,popular,referral,1,0,1,1
9838518,54,popular,direct,0,1,1,0
9837871,111,corporate,direct,0,1,1,0
9837303,183,other,direct,0,0,1,1
9834314,133,popular,direct,0,1,0,1
9833533,84,other,search,0,1,0,0
9833136,162,other,search,0,1,1,0
9833010,67,corporate,referral,0,0,1,0
9828861,115,other,referral,1,1,0,0
9828664,145,other,direct,0,1,1,0
9828165,103,corporate,direct,1,1,1,0
9827993,57,other,referral,1,0,1,0
9827903,164,corporate,search,1,0,1,0
9827115,201,popular,direct,1,1,0,1
9825549,123,other,search,0,0,0,0
9825348,186,popular,referral,0,1,1,0
9824314,205,popular,direct,0,1,0,0
9822123,115,other,direct,1,1,0,1
9819667,200,popular,referral,0,1,0,0
9815649,134,popular,direct,0,1,1,0
